Length	SB_C3_3	SB_C3_2	SB_C3_1	CL_SB_3	CL_SB_2	CL_SB_1	CL_4N_3	CL_4N_2	CL_4N_1	CL_Rand_3	CL_Rand_2	CL_Rand_1	CL_C3_3	CL_C3_2	CL_C3_1	CL_UMI6_3	CL_UMI6_2	CL_UMI6_1	CL_16C_3	CL_16C_2	CL_16C_1	CL_Block_3	CL_Block_2	CL_Block_1	SB_CL_3	SB_CL_2	SB_CL_1	SB_4N_3	SB_4N_2	SB_4N_1	4N_C3_3	4N_C3_2	4N_C3_1	4N_CL_2	4N_CL_1	4N_3	4N_2	4N_1	CL_3	CL_2	CL_1	SBN_1	SBN_2	SBN_3	SBN_CL_1	SBN_CL_2	SBN_CL_3	SBN_4N_1	SBN_4N_2	SBN_4N_3	CATS_1	CATS_2	CATS_3	SB_1	SB_2	SB_3	SB_4	SB_5	SB_6	SBN_4N_4	SBN_4N_5	SBN_4N_6	SBN_4	SBN_5	SBN_6	SBN_CL_4	SBN_CL_5	SBN_CL_6	4N_4	4N_5	4N_6	4N_C3_4	4N_C3_5	4N_C3_6	4N_CL_3	4N_CL_4	4N_CL_5	CL_4	CL_5	CL_6
0	2024	1784	2213	277295	288983	289930	290020	290951	291932	295384	295786	296078	240555	78120	57238	16067	11727	47232	49557	66558	31972	1645	1505	2219	1243	3256	1525	76094	84514	50945	140033	124475	135643	312	957	185162	155431	140547	2163	3997	3031	31987	37000	54742	1165	692	679	291769	291704	293861	182638	153038	236663	434	657	417	252	284	249	4485	4231	4325	2313	2390	2329	402	346	435	99538	80812	72803	62745	59328	56192	3494	3334	4116	7687	6959	7585
1	33	25	41	1937	2064	2171	3755	3373	3383	111	115	118	610	735	848	812	1032	873	1815	2493	82100	2482	2282	2734	117	346	185	2320	2703	1186	1093	1021	987	10	7	821	657	630	283	513	270	338	484	513	226	208	214	1361	1482	1484	6780	6515	8257	18	21	8	25	27	25	72	67	105	88	73	78	266	255	237	427	348	353	523	522	497	234	156	371	1103	1174	1125
2	39	37	37	148	145	139	174	214	183	64	31	57	2049	4830	5236	1294	1870	1113	886	874	92917	291729	292302	290433	81	209	125	1317	2160	1381	30	29	25	7	12	19	15	18	1396	2862	881	133	264	124	64	73	91	49	79	58	736	643	767	17	19	11	24	26	35	228	240	409	84	57	90	35	36	30	81	76	112	250	227	281	108	70	199	146	197	174
3	45	62	56	174	88	76	37	43	42	65	51	41	3034	6196	9142	1412	2078	912	1773	2027	5911	2004	1942	2016	288	441	146	3134	4381	2998	20	16	20	12	13	10	10	20	2228	4651	1744	226	315	199	70	120	166	95	186	128	889	951	901	34	31	29	63	76	65	251	252	521	199	169	207	56	65	77	1467	1399	2312	2557	2557	3039	87	73	118	338	377	386
4	80	78	108	179	134	108	26	27	24	37	38	42	1295	2119	7541	1384	2224	589	846	724	266	38	30	47	174	585	215	4992	8648	8685	42	40	29	17	28	17	20	48	2017	4875	1415	658	770	484	174	243	318	113	175	144	821	873	865	27	37	19	95	87	68	245	230	442	183	131	204	53	56	45	180	164	207	224	215	245	81	113	143	7930	8253	6441
5	298	315	334	140	130	117	34	21	15	35	40	33	1899	2676	9254	2545	4635	775	1284	858	71	19	25	37	233	510	235	2654	4399	4913	102	103	80	72	89	37	27	54	2554	5984	1690	1922	2647	2293	559	711	661	220	336	313	2049	1839	2267	571	874	340	103	128	147	162	186	658	518	293	603	32	27	47	811	776	737	451	386	430	51	51	78	422	432	389
6	788	829	753	103	81	70	25	9	9	28	27	27	1338	2330	8339	9811	20442	1602	1819	1277	114	20	31	28	552	1515	1288	2791	3913	4267	134	127	130	267	362	67	39	86	2453	6130	1781	881	1039	753	849	851	656	441	675	597	4205	4236	5379	62	65	53	109	119	116	225	243	1658	297	281	309	1851	113	1917	168	155	330	191	179	272	79	103	127	248	286	290
7	1448	1314	1484	117	53	55	43	24	27	21	35	17	1634	3163	10487	14332	28293	2091	3167	2072	142	19	13	26	2163	7038	6334	4250	6761	8921	179	191	180	274	420	106	65	123	2491	6468	1886	1037	1165	883	749	772	879	113	137	147	1222	1219	1436	94	89	105	169	134	137	268	297	2995	336	339	367	116	111	125	182	194	381	210	213	274	179	270	460	491	478	466
8	1710	1665	1822	145	66	69	27	14	13	27	13	23	1854	3985	10477	5996	10466	1677	3886	2434	187	7	20	15	3846	12872	11230	4067	6115	7524	175	205	188	488	742	127	109	170	2656	6451	1813	1355	1523	1211	928	938	982	44	50	44	2571	2685	3239	158	192	142	286	224	228	345	349	4393	446	425	473	125	141	93	165	164	364	207	230	289	160	199	241	476	476	408
9	1342	1491	1488	154	47	62	25	20	9	35	16	24	2182	4330	9316	4940	6937	2796	2978	2519	206	6	3	9	2727	7968	5921	3585	5055	5417	238	271	244	498	631	357	197	275	2775	5636	1847	944	1153	837	631	688	635	67	39	42	1408	1427	1403	198	228	155	365	335	313	537	513	4748	513	567	503	334	159	328	233	253	601	294	338	440	210	257	297	403	406	344
10	1027	1369	1201	168	31	53	33	16	17	30	39	32	1905	2657	5195	3940	4773	2099	2199	1941	190	2	3	2	1874	4368	3439	1637	2047	2548	319	377	339	431	525	153	142	178	2254	4575	1793	552	685	506	502	505	485	29	32	22	1326	1810	2267	179	206	157	423	367	339	731	673	3987	502	526	468	484	344	382	234	276	604	300	314	430	409	570	751	920	788	936
11	1200	1686	1283	139	32	39	28	19	12	39	33	21	811	2641	5298	4598	6454	2221	2868	2631	208	4	3	4	1604	4023	2864	1208	1250	1886	470	423	519	465	572	208	191	269	2405	4843	1936	599	682	504	489	596	584	46	50	27	1062	979	1202	259	246	219	511	508	479	636	708	3120	508	575	499	368	392	299	329	330	804	369	372	498	282	327	405	653	611	639
12	837	922	1023	163	34	48	33	23	20	47	47	28	758	3612	4682	5862	6029	2823	3102	2751	223	5	1	7	1661	3350	2238	877	911	1084	441	485	419	597	662	229	195	341	2945	4914	2164	525	646	511	519	596	604	35	49	32	1342	1746	1685	243	253	251	539	499	548	651	575	2589	545	627	563	476	534	340	287	393	796	494	517	606	422	510	545	778	831	785
13	1005	1095	1285	193	31	46	60	62	52	77	80	53	812	3786	4532	5945	4526	3109	3112	2755	213	3	1	9	1956	3560	2684	834	883	999	567	604	503	811	828	305	257	457	2631	4438	1885	491	598	406	565	611	577	33	33	28	1263	1339	1927	226	317	254	473	478	498	765	777	2135	532	553	505	778	793	473	436	564	1275	669	752	934	688	973	1157	1052	1009	1048
14	1375	1573	1656	255	37	45	42	28	24	164	176	121	1101	3861	4653	5273	3687	2848	2629	2484	234	5	1	9	2878	4685	3701	1013	870	1329	783	844	617	1265	1448	403	374	729	2947	4026	1987	603	694	502	598	648	600	21	25	16	1492	1524	1968	460	505	519	799	818	753	1265	1232	2321	714	783	699	633	752	418	622	734	1537	926	915	1108	647	905	1019	895	940	978
15	1895	2405	2246	306	39	41	87	57	93	326	267	182	2082	4722	5551	5417	3859	2851	3040	2649	332	1	2	14	2752	4226	3359	851	767	952	895	1120	925	2394	2974	434	334	694	2924	4456	1958	1630	1776	1331	1941	1711	1764	23	21	11	1195	1407	1553	2167	2443	2325	3222	3312	3325	1399	1340	2211	1711	2070	1760	819	883	507	499	550	1114	972	866	977	1078	1430	1537	1149	1124	1248
16	2445	3302	3257	774	127	212	43	33	33	353	353	253	3818	9747	9041	7406	5510	7029	7707	9233	626	4	3	13	3339	4951	4081	1244	1115	1604	2600	2741	2684	11743	15035	614	642	921	3567	4914	2488	1093	1175	1120	3535	3147	3378	34	30	21	1228	1357	1880	604	640	637	1710	1854	1904	3657	3629	4326	1259	1191	1170	1255	1375	946	437	494	1003	969	1008	1167	1232	1858	1916	1792	1666	1893
17	4633	5798	6547	197	67	69	66	50	46	448	457	266	1115	4144	4248	4806	2990	2595	2939	2882	270	10	6	10	4710	4649	4756	2778	2335	3077	1102	1320	1153	1722	2028	854	880	1123	3508	4273	2476	685	795	655	1163	1206	1170	29	30	37	1672	1404	2366	818	859	809	1085	1141	1068	1089	1095	1646	936	889	913	4959	4785	4471	458	489	899	1005	1059	1176	2133	2473	2672	10162	9588	8570
